"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"011 耕種農業","0.006532311056453407","0.0055921286143050235","6.383383661695325E-4","8.92461274942694E-5","8.028115174214428E-4","0.0018794085816787277","-4.4234370805700164E-6","0.004170899227425246","0.03478445636894211","0.017002110713593047"
"012 畜産","9.98994159130855E-4","6.593841850033641E-4","1.0668565517503308E-4","2.1009582953412046E-5","4.407388359357764E-6","3.017417053248142E-4","1.9572526024182032E-5","2.5314349938901874E-4","0.001492591582739174","8.989959421989201E-4"
"013 農業サービス","4.255488481930486E-4","7.157931611445027E-4","1.1147523262157918E-4","6.670686431701157E-5","3.066484514463167E-5","1.007971323539148E-4","1.909202138732893E-6","1.806260960544548E-4","0.0014444160547290518","8.760946049503529E-4"
"015 林業","4.5697203401455966E-4","2.911897944341988E-4","2.8599884978644408E-5","9.15793899284321E-6","2.511434353374523E-4","3.503904803292346E-4","0.01691391850697037","5.433128162615194E-5","0.001952329209127208","0.0011406445352355233"
"017 漁業","9.254897092650032E-4","4.285808901881269E-4","7.559735976478239E-5","7.78487152544275E-6","1.877404384323348E-6","3.171283773058745E-6","2.6465436386876885E-4","0.00135892050336274","0.004962577170842355","0.0022857113976638747"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"063 非金属鉱物","-6.419959066237781E-5","-3.236313300182228E-7","2.9092003481934374E-6","4.847069270457302E-6","0.0021676828429787296","4.48688803540298E-4","-1.3077618845349224E-4","1.9207770785745757E-4","6.329593564456469E-4","3.7036990239923883E-4"
"111 食料品","0.02382909093999125","0.020893193193840885","0.002034606392169611","3.2393169973270744E-4","3.2093908827027726E-5","2.7007012210499895E-5","0.007253871051833957","0.008567704361186024","0.03350691417062099","0.021722787051678665"
"112 飲料","0.009475984905661162","0.003860763707354123","1.690198700802694E-4","1.5205475575096654E-5","7.79748289837781E-6","5.651675787686848E-6","4.2226619058811373E-4","9.91948412566382E-4","0.017186873390380244","0.008752417275631646"
"113 飼料・有機質肥料（別掲を除く。）","3.0251265000433973E-5","5.713888481770826E-5","1.0322602375463458E-5","6.4189809144075295E-6","2.511098297735179E-6","7.90903998513221E-6","4.5995916598374804E-6","1.5353974357777275E-5","4.6718350944103366E-4","2.2048459861379006E-4"
"114 たばこ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"151 繊維工業製品","6.169202463137733E-5","7.615261651434881E-5","2.8718189111007763E-5","2.839441302234908E-5","4.679770104262154E-5","1.468087351634928E-4","2.443875653444785E-4","0.07988037332911742","0.013903112557491057","0.006103601227385327"
"152 衣服・その他の繊維既製品","4.2612643555593787E-4","6.941717726665363E-4","1.522368683316476E-4","1.7286752572281136E-4","9.466220583201756E-5","3.137466477993212E-4","-4.153226953210493E-4","0.001665717389062648","0.007763208020800391","0.003590929680575306"
"161 木材・木製品","2.479329485837679E-4","1.3978154007953414E-4","7.349137972152669E-5","7.680397309754794E-5","0.003191144173179434","0.004734703947567647","1.7803619968659768E-4","5.726716466904285E-4","0.009128400133213775","0.004400689377633266"
"162 家具・装備品","6.984419802831135E-4","4.5771356459253955E-4","5.434397724613703E-4","3.786777806237567E-4","6.716936184243524E-4","0.0017552116574909569","3.71924501771208E-4","0.0023530394782455516","0.0051979978996803036","0.0025959060621892926"
"163 パルプ・紙・板紙・加工紙","-1.4310201987983396E-4","2.5965712981112577E-4","5.579699243263514E-4","5.052319881502444E-4","4.905150610577308E-4","5.442788941988184E-4","-9.016451804763774E-4","0.0014223345935992953","0.0030024800716066066","0.0014791105057436551"
"164 紙加工品","0.0037499740157271567","0.0014255115884988978","0.0012796141567775724","7.045791582548012E-4","6.447999466979472E-4","4.5889250438802513E-4","-3.93982174987876E-4","0.002531508880839306","0.00509817011428548","0.0028910964023104776"
"191 印刷・製版・製本","0.0012879326183488277","0.001416175754387117","0.0018899170746082378","0.0027171582259550194","5.456158147511973E-4","4.329203096970142E-4","2.536558894934758E-4","0.001286232902119278","0.002296508117703682","0.001750767747588726"
"201 化学肥料","2.8694901019759776E-5","2.734488136539819E-5","2.989392359886472E-6","9.7834844868793E-7","2.415371210171244E-5","8.960239848882289E-6","-2.89621720464955E-5","2.4996953726069574E-4","2.8930654517621545E-4","1.3472303912432865E-4"
"202 無機化学工業製品","3.819048349822634E-4","3.4595327592852257E-4","3.4094349547974785E-4","3.8907196323535146E-4","4.5218212703087754E-4","2.588666575855455E-4","0.0029819097356415013","0.013970862599648423","0.008597763856443291","0.003917234251303164"
"203 石油化学基礎製品","3.557005543818383E-5","3.896825824380324E-5","5.280334533262501E-5","2.440465925121471E-5","2.536039836884467E-5","1.9944357464700514E-5","0.009065785679309891","0.11518017341574231","0.03074257843592238","0.01342176303022914"
"204 有機化学工業製品（石油化学基礎製品を除く。）","1.0723415807882485E-4","1.1539904386083953E-4","9.328296446621706E-5","4.398036038072608E-5","8.577789797802309E-5","6.890176900965157E-5","0.0021176221801534043","0.15911709134486407","0.025665510459645137","0.011282778131212968"
"205 合成樹脂","1.030348358039966E-5","1.0493970478610427E-5","1.0290173111346917E-5","4.754278922827846E-6","1.6988224875921677E-5","1.5198539502597323E-5","2.3859712857351236E-4","0.00636432218006358","0.0015041218937302757","6.609799750707103E-4"
