"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","平均"
"011 耕種農業","0.0037953292183473914","0.0032490750883120856","3.7088011139976607E-4","5.185277191733393E-5","4.664404347195435E-4","0.0010919526399789689","-2.570055199809117E-6","0.0024233285230639582","0.02021006998295836","0.009878373366976723"
"012 畜産","1.9762252691169058E-4","1.3044037110221155E-4","2.1104716747555736E-5","4.15614729542199E-6","8.718761933655732E-7","5.969099792616669E-5","3.871866532541983E-6","5.007722774280308E-5","2.952667115538141E-4","1.7784072925438932E-4"
"013 農業サービス","2.6835584477722806E-4","4.5138714218198497E-4","7.02975236542787E-5","4.2066091829981336E-5","1.9337592990070592E-5","6.356379465909391E-5","1.2039641394064645E-6","1.139048285557027E-4","9.108648565787314E-4","5.524750185895681E-4"
"015 林業","3.049222143334482E-4","1.943012488754367E-4","1.9083750444764246E-5","6.110787594366024E-6","1.6757964758947418E-4","2.3380389430996697E-4","0.011286094334684327","3.625345418948023E-5","0.0013027242396543917","7.611140979368579E-4"
"017 漁業","4.6607027370946266E-4","2.1583039854139506E-4","3.807031218668699E-5","3.920407937909533E-6","9.454479790594639E-7","1.5970367701804958E-6","1.332781235403253E-4","6.843430506155092E-4","0.0024991198466762774","0.0011510685921900443"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"063 非金属鉱物","-2.4968028436711538E-5","-1.258642955124176E-7","1.1314246130287482E-6","1.8850862152055692E-6","8.430391269921541E-4","1.7450072018283658E-4","-5.0860504848437067E-5","7.470143691513915E-5","2.461658563234243E-4","1.4404151428064216E-4"
"111 食料品","0.0072626595058347026","0.006367852996936237","6.201098267632067E-4","9.872829996870222E-5","9.781620818393282E-6","8.231230240747613E-6","0.0022108436986274893","0.002611275422912628","0.010212278316670749","0.006620697628432273"
"112 飲料","0.003823670031678383","0.0015578630225953794","6.820148178982431E-5","6.135586100309229E-6","3.14637496554472E-6","2.2805168595435545E-6","1.7038931513896368E-4","4.0026271209392357E-4","0.00693510314498146","0.0035317020842428044"
"113 飼料・有機質肥料（別掲を除く。）","5.655859717129847E-6","1.0682843078382418E-5","1.929942134667595E-6","1.2001103285532702E-6","4.694818450636688E-7","1.4786958711457783E-6","8.599523088951164E-7","2.8706212803580724E-6","8.734591401440528E-5","4.122240704742063E-5"
"114 たばこ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"151 繊維工業製品","2.245145903521001E-5","2.7714074231020876E-5","1.045135494002363E-5","1.0333523735187408E-5","1.703099669979116E-5","5.342781863991105E-5","8.89394933110298E-5","0.029070709548472178","0.005059732824648835","0.0022212717728541144"
"152 衣服・その他の繊維既製品","1.3646316754410554E-4","2.223022817023685E-4","4.875249112960618E-5","5.5359274049427767E-5","3.0314722055899007E-5","1.0047454884882377E-4","-1.33003366671031E-4","5.334310481071929E-4","0.0024860977128539604","0.0011499630103918369"
"161 木材・木製品","9.64663207693582E-5","5.438652248509599E-5","2.859419472278903E-5","2.988306615764696E-5","0.0012416177002274786","0.0018421894805146918","6.927073325924722E-5","2.2281639887201428E-4","0.0035516988782317246","0.0017122303249083818"
"162 家具・装備品","2.520782323582033E-4","1.6519572068404383E-4","1.9613560052572697E-4","1.3667051561572918E-4","2.4242434561287776E-4","6.334823285614722E-4","1.3423315554312521E-4","8.492473950445736E-4","0.0018760357471953979","9.369016038517208E-4"
"163 パルプ・紙・板紙・加工紙","-2.1041268699896572E-5","3.817916366790392E-5","8.204213409475557E-5","7.428771464846627E-5","7.212378420464445E-5","8.002904829810712E-5","-1.3257505750304024E-4","2.0913558306313184E-4","4.4147517977600613E-4","2.174837337329432E-4"
"164 紙加工品","0.0012920560566616324","4.911609717925457E-4","4.408919140560584E-4","2.4276322049238084E-4","2.221662531452583E-4","1.5811171948512838E-4","-1.35746822051272E-4","8.722330790195851E-4","0.0017565779246543854","9.96129200184222E-4"
"191 印刷・製版・製本","6.274096652308227E-4","6.898826408381084E-4","9.206632569133499E-4","0.0013236494740782234","2.6579390163793105E-4","2.108948734653926E-4","1.235671450847785E-4","6.265816573246822E-4","0.0011187319653224973","8.528773871880127E-4"
"201 化学肥料","9.520113702921472E-6","9.072217381486152E-6","9.917913691065317E-7","3.2458688274171657E-7","8.013482444061688E-6","2.972740770496703E-6","-9.608786270994402E-6","8.293244905601042E-5","9.598329693419574E-5","4.469709269892731E-5"
"202 無機化学工業製品","1.0536951801401615E-4","9.54502970397097E-5","9.406807271864829E-5","1.0734696574548465E-4","1.2475938614919343E-4","7.142264889355244E-5","8.227243093700023E-4","0.0038546332057654287","0.002372167489300921","0.001080785177875476"
"203 石油化学基礎製品","3.837028691478362E-6","4.203601121686801E-6","5.6960257315153395E-6","2.632590154811547E-6","2.735688065982574E-6","2.151446515402561E-6","9.77948426950268E-4","0.012424766412121792","0.003316276965428342","0.0014478383348800958"
"204 有機化学工業製品（石油化学基礎製品を除く。）","1.8544602781553005E-5","1.995660215094155E-5","1.6131944832728774E-5","7.605769729180815E-6","1.483405170458582E-5","1.1915568323771089E-5","3.662122487452602E-4","0.02751700864362236","0.00443848028638459","0.0019511939335779076"
"205 合成樹脂","1.6987822390623094E-6","1.7301886810612175E-6","1.6965876814407105E-6","7.838596073479602E-7","2.8009259652057246E-6","2.505852391109236E-6","3.933859467520276E-5","0.0010493147680391566","2.4799142333904186E-4","1.089787772518017E-4"
"206 化学繊維","1.4236691843641442E-7","1.79254758278505E-7","4.580216257191097E-8","5.0407070892217495E-8","4.9981079020440855E-8","1.3389480357632026E-7","3.141072342596852E-6","1.828880099589592E-5","4.857179738555546E-6","2.2111635964133773E-6"
"207 医薬品","7.063332699024804E-5","4.3269767516572774E-5","3.617414106334195E-4","4.225129252629199E-6","2.9142557599447703E-7","1.8123189029624002E-7","7.643420930625263E-5","9.907866211309099E-5","9.506385908930314E-4","4.6023790856775316E-4"
"208 化学最終製品（医薬品を除く。）","8.518109343301314E-4","9.762193907686894E-4","3.214990439339604E-4","1.754540427830173E-4","4.72909080659705E-4","3.76113904989925E-4","0.0049096423201865766","0.027434813473770307","0.020344283436137763","0.009191175309262823"
"211 石油製品","0.0014761654017043323","0.004603778153592146","0.0014443460251288348","0.002025102576630082","0.0031245709117351497","0.0011537345644326157","0.034986783120005784","0.038776151145501044","0.07064547846150714","0.032477570904119506"
"212 石炭製品","1.9473324637082165E-5","2.3153850607719734E-5","1.5744248205941945E-5","1.365687387570165E-5","9.432655894429386E-4","8.591062815580986E-5","8.012511223433063E-4","8.365110494124524E-4","0.001761174427427858","8.08022354232199E-4"
"221 プラスチック製品","1.370657020366157E-4","1.3606759277267185E-4","5.529275137956149E-5","7.209604857229587E-5","2.806859846432371E-4","1.8929257682657465E-4","3.582983770659967E-5","0.00549258967278617","0.00421390925257985","0.0018848590256855082"
"222 ゴム製品","9.979964355176374E-5","2.0661633812402508E-4","1.271833684151255E-4","1.527149140124359E-4","2.619224106368837E-4","1.0276112225266146E-4","-0.0010370798482316986","0.00283485653427242","0.001579450315961744","7.685372900105307E-4"
"231 なめし革・毛皮・同製品","3.972769366155828E-5","5.2685738533703446E-5","2.559314555305991E-6","4.652377542136043E-6","1.2487796425853426E-6","1.1376261664985905E-6","-4.387239303750462E-5","1.581876914512264E-4","9.050299988803967E-5","5.6542611965427465E-5"
