"""","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","810 移輸出","合計"
"011 耕種農業","0.005395138308003005","0.10642472853743269","0.003937193765219552","0.00008112063356890697","0.0015162651439034076","0.007854412109514397","-0.000002605434806924563","0.00036223036792908987","0.8744315165692359","1.0"
"012 畜産","0.015604281745285522","0.23732803029476496","0.012444772966258963","0.0003611640324710931","0.00015743017773562598","0.023849151237132705","0.0002180280367338872","0.00041578330565494317","0.7096213582039623","1.0"
"013 農業サービス","0.0068208261301596846","0.26436549993374564","0.013343386389547407","0.001176696098736425","0.0011239685695738117","0.008175089000572079","0.000021823484912294544","0.00030443002920733697","0.7046682803635455","1.0"
"015 林業","0.0056257167782055514","0.08260266618668251","0.002629375689522378","0.00012407726593349799","0.007070268443515572","0.02182716306194933","0.14849680377360336","0.00007033275435099621","0.7315535960462368","1.0"
"017 漁業","0.005685763167567866","0.06067078977307578","0.0034683579721934417","0.000052635026880978576","0.000026375507863673697","0.00009858458896671546","0.0011595269897362599","0.000877870908370526","0.9279600960653448","1.0"
"061 金属鉱物","-","-","-","-","-","-","-","-","-","-"
"062 石炭・原油・天然ガス","-","-","-","-","-","-","-","-","-","-"
"063 非金属鉱物","-0.0024340816231135814","-0.0002827373027589394","0.000823714336199831","0.00020224990787876595","0.18794226221879035","0.08608051644756098","-0.00353603198510965","0.000765771637850478","0.7304383363627017","1.0"
"111 食料品","0.015403893079612064","0.3112128458427282","0.00982208166312793","0.00023045317625271553","0.00004744292607916339","0.00008833978024497206","0.003344086346410332","0.0005823806371528466","0.6592684765483918","1.0"
"112 飲料","0.015203196585416284","0.14272940227667988","0.002025109121151224","0.00002684829966204811","0.000028608218438115047","0.000045882232810366795","0.000483149452873357","0.00016734743953159936","0.8392904563734371","1.0"
"113 飼料・有機質肥料（別掲を除く。）","0.0019266545271658902","0.08385360557424885","0.004909639691136796","0.000449917223863143","0.0003657209609615511","0.0025488297727444035","0.00020891239884215986","0.00010282543429144678","0.9056338944167458","1.0"
"114 たばこ","-","-","-","-","-","-","-","-","-","-"
"151 繊維工業製品","0.00014193236428907037","0.004037075930037912","0.0004934118553830863","0.0000718938161576093","0.0002462083422223221","0.0017090747736515225","0.0004009739414732048","0.019324663223028032","0.9735747657537572","1.0"
"152 衣服・その他の繊維既製品","0.001666365027218635","0.06255014040539743","0.004445817404938896","0.0007439629511314942","0.0008465139444468019","0.006208225914490034","-0.0011582490684168922","0.0006849398254023003","0.9240122835953913","1.0"
"161 木材・木製品","0.0007911377283721846","0.010277733345992177","0.0017512750754830099","0.0002697166550496665","0.023285743412918516","0.07644822955731309","0.0004051452922272689","0.00019215114039797604","0.886578867792246","1.0"
"162 家具・装備品","0.0037781563655993754","0.05705228594492767","0.021953366510226707","0.0022543723216398967","0.00830895958405729","0.04804363298503143","0.0014347922219095407","0.0013384379461010988","0.855835996120507","1.0"
"163 パルプ・紙・板紙・加工紙","-0.0013585752787502576","0.0568025549006125","0.03955932288043463","0.005278797605608663","0.010649178873893604","0.026146658258999436","-0.006104614448829172","0.0014199045505135946","0.867606772657517","1.0"
