"""","011 耕種農業","012 畜産","013 農業サービス","015 林業","017 漁業","061 金属鉱物","062 石炭・原油・天然ガス","063 非金属鉱物","111 食料品","112 飲料","113 飼料・有機質肥料（別掲を除く。）","114 たばこ","151 繊維工業製品","152 衣服・その他の繊維既製品","161 木材・木製品","162 家具・装備品","163 パルプ・紙・板紙・加工紙","164 紙加工品","191 印刷・製版・製本","201 化学肥料","202 無機化学工業製品","203 石油化学基礎製品","204 有機化学工業製品（石油化学基礎製品を除く。）","205 合成樹脂","206 化学繊維","207 医薬品","208 化学最終製品（医薬品を除く。）","211 石油製品","212 石炭製品","221 プラスチック製品","222 ゴム製品","231 なめし革・毛皮・同製品","251 ガラス・ガラス製品","252 セメント・セメント製品","253 陶磁器","259 その他の窯業・土石製品","261 銑鉄・粗鋼","262 鋼材","263 鋳鍛造品","269 その他の鉄鋼製品","271 非鉄金属製錬・精製","272 非鉄金属加工製品","281 建設・建築用金属製品","289 その他の金属製品","291 はん用機械","301 生産用機械","311 業務用機械","321 電子デバイス","329 その他の電子部品","331 産業用電気機器","332 民生用電気機器","333 電子応用装置・電気計測器","339 その他の電気機械","341 通信機械・同関連機器","342 電子計算機・同附属装置","351 乗用車","352 その他の自動車","353 自動車部品・同附属品","354 船舶・同修理","359 その他の輸送機械・同修理","391 その他の製造工業製品","392 再生資源回収・加工処理","411 建築","412 建設補修","413 公共事業","419 その他の土木建設","461 電力","462 ガス・熱供給","471 水道","481 廃棄物処理","511 商業","531 金融・保険","551 不動産仲介及び賃貸","552 住宅賃貸料","553 住宅賃貸料（帰属家賃）","571 鉄道輸送","572 道路輸送（自家輸送を除く。）","573 自家輸送","574 水運","575 航空輸送","576 貨物利用運送","577 倉庫","578 運輸附帯サービス","579 郵便・信書便","591 通信","592 放送","593 情報サービス","594 インターネット附随サービス","595 映像・音声・文字情報制作","611 公務","631 教育","632 研究","641 医療","642 保健衛生","643 社会保険・社会福祉","644 介護","659 その他の非営利団体サービス","661 物品賃貸サービス","662 広告","663 自動車整備・機械修理","669 その他の対事業所サービス","671 宿泊業","672 飲食サービス","673 洗濯・理容・美容・浴場業","674 娯楽サービス","679 その他の対個人サービス","681 事務用品","691 分類不明","700 内生部門計"
"011 耕種農業","0.025555276872056405","0.045326774420238934","0.009734991887506761","0.0030462475768485184","0.0","0.0","0.0","0.0","0.1958440576422516","0.009383571531687599","0.32593123209169056","0.0","0.007064303273385949","0.002682969739619986","0.00003588988981803826","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000587930624186346","0.0","0.0","0.002620270411906509","0.00031764989898733215","0.0","0.0","0.0","0.05297213355189371","0.0","0.0","0.0","0.0","0.0006080259424402108","0.0","0.0","0.0","0.0","0.0","0.00014056460114794425","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.006078251098171417","0.0","0.0008397426272265693","0.0","0.0024994383284655136","0.0013223265390936397","0.0","0.0","0.0","0.0","0.00013741785693775587","0.0","0.0","0.0","0.000003377397107597117","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00009302037146135003","0.0","0.0","0.0","0.0","0.0","0.0","0.000019829545229209714","0.00013664426528862996","0.0","0.0004772545536721735","0.0","0.005472031837276144","0.003859141341051616","0.0016591227589761762","0.0000805120566804879","0.0","0.0","0.0","0.01766110831123869","0.021582461505851715","0.00006865774116031582","0.0017945109078114005","0.008000587199060482","0.0","0.0","0.005189250894030674"
"012 畜産","0.003121255190480172","0.043745607870695716","0.020731927167838473","0.0","0.0","0.0","0.0","0.0","0.028254009800927744","0.0","0.00501432664756447","0.0","0.0006469142191745374","0.0003078817733990148","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04036326942482341","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00010215548064153642","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0014560243005434987","0.00006005189748192912","0.0","0.0007876409462745965","0.0006578081831337982","0.0","0.0","0.0","0.0","0.0","0.0027828297214979075","0.005344516949537465","0.0","0.0","0.0002935995302407516","0.0","0.0","0.0007874382559745375"
"013 農業サービス","0.03699987923715037","0.10242445537596627","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0004968882374131998","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.001055594651653765","0.0","0.0","0.0","0.0006429015323761578"
"015 林業","0.0001207628496316733","0.0","0.0","0.11741899750761561","0.00020729684908789387","0.0","0.0","0.0","0.0007270717910686501","0.0","0.0007163323782234957","0.0","0.000025876568766981498","0.0","0.1626529806553494","0.0","0.0","0.0","0.0","0.0","0.00016127731634545602","0.0","0.0","0.0","0.0","0.0","0.00008047130774345748","0.0","0.0","0.0","0.0","0.009081735620585268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0003575441822453775","0.0","0.000005561209451831585","0.00002298903423067197","0.00004914625926758032","0.00001889037912990914","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000003965909045841942","0.0","0.0","0.000006321252366518854","0.0","0.00020727393323015698","0.00018637898522124281","0.0","0.0","0.0","0.0","0.0","0.0017310515590420053","0.002006086390407122","0.0","0.0","0.00019573302016050108","0.0","0.0","0.000810662493225695"
"017 漁業","0.0","0.0","0.0","0.0","0.0460889994472084","0.0","0.0","0.0","0.03373613110558536","0.0","0.0014326647564469914","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00010481081647626035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010522014506078252","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000003965909045841942","0.0","0.0","0.00011694316878059881","0.0","0.001506190581472474","0.0013046528965486998","0.0","0.0","0.0","0.0","0.0","0.006003900344019107","0.009379400142318582","0.0","0.00003518648838845883","0.0006605989430416912","0.0","0.0","0.0010005547860439821"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011329731473268285","0.0","0.0","0.00023894862604540023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00004048746912830479","0.0","0.0007093635995135793","0.14548059952321737","0.0","0.0","0.0","0.2788697788697789","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010666892169456604"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000043624307464119006","0.0","0.0","0.0","0.000025876568766981498","0.0","0.0","0.0","0.0004271222637479979","0.0","0.0","0.06916764361078546","0.002459479074268204","0.00041186161449752884","0.003121631647465599","0.0011947431302270011","0.0","0.0","0.0004785925144742471","0.618359857870609","0.7385701135317582","0.0","0.0","0.0","0.0","0.03251143771002875","0.0","0.006688285366842318","0.005096059884799412","0.0026034516854277745","0.0","0.00004511617414843221","0.0","0.00011713716762328687","0.00008659008254921204","0.0001422323365217082","0.000004332699315000238","0.000012858428700012858","0.0","0.0","0.00008068420203324189","0.0","0.0","0.0","0.00005657388549445576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00006325110689437066","0.0","0.0","0.0","0.0","0.3912047147176104","0.4465550967181048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0001129674026283749","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0800943833001887"
"063 非金属鉱物","0.0","0.0","0.0","0.00027693159789531985","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0003203416978109984","0.0","0.0","0.007033997655334115","0.0046770421740182245","0.0","0.000363957053067738","0.0","0.0","0.00010481081647626035","0.0001651779474734127","-0.0010532209158587353","0.0017476686633669971","0.0","0.0001725476662928134","0.0","0.03773584905660377","0.07133892060407304","0.0","0.06749087961086339","-0.0018080978023358972","0.0","0.0","0.0","0.0","0.000023427433524657373","0.0","0.00003555808413042705","0.000004332699315000238","0.000012858428700012858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0024006537950761056","0.0","0.0018129542812970966","0.00022989034230671968","0.015130026960233656","0.014092222830912217","-0.000011344363836436963","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000003965909045841942","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.00004382409010232925","-0.000030280549289164105","0.0","0.00003518648838845883","0.000024466627520062635","0.0","0.0006719655953615175","0.000594403860469329"
"111 食料品","0.0","0.0066760365425158116","0.0","0.01647743007477153","0.038695411829740185","0.0","0.0","0.0","0.15505533016330034","0.11915331312256389","0.2679083094555874","0.0","0.00046577823780566695","0.0021551724137931034","0.001112586584359186","0.0","0.005339028296849973","0.000054629882545752524","0.0","0.0","0.00020159664543182","0.0","0.003583577137897728","0.00023894862604540023","0.0","0.008489676134577089","0.030490154970797385","0.000004157450983652902","0.0","0.000025049472708599484","0.0","0.15338042381432895","0.0","0.0","0.0","0.0025334414268342116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.002604964756359179","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00018604074292270006","0.0","0.0","0.0","0.0","0.0","0.0","0.00027364772416309404","0.000024844411870659992","0.0","0.0018363238124737274","0.0","0.02136303338492151","0.017004341534008684","0.001288639036098001","0.0","0.0","0.0","0.0","0.07875188991388567","0.1599342912080425","0.0","0.00005277973258268825","0.008685652769622236","0.0","0.0","0.008997206124258686"
"112 飲料","0.0","0.0","0.0","0.0","0.01077943615257048","0.0","0.0","0.0","0.0011196905582457211","0.09693951205428035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000055993392779652","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00009229557555520916","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00021704753340981675","0.0","0.0","0.0","0.0","0.0","0.0","0.000023795454275051656","0.0","0.0","0.00022756508519467878","0.0","0.0023491045766084457","0.001929570670525808","0.0","0.0","0.0","0.0","0.000020311373353509298","0.027455792449109274","0.07483837756816909","0.0","0.0","0.002201996476805637","0.0","0.0011327420036094152","0.0023841728735717604"
