"""","011 耕種農業","012 畜産","013 農業サービス","015 林業","017 漁業","061 金属鉱物","062 石炭・原油・天然ガス","063 非金属鉱物","111 食料品","112 飲料","113 飼料・有機質肥料（別掲を除く。）","114 たばこ","151 繊維工業製品","152 衣服・その他の繊維既製品","161 木材・木製品","162 家具・装備品","163 パルプ・紙・板紙・加工紙","164 紙加工品","191 印刷・製版・製本","201 化学肥料","202 無機化学工業製品","203 石油化学基礎製品","204 有機化学工業製品（石油化学基礎製品を除く。）","205 合成樹脂","206 化学繊維","207 医薬品","208 化学最終製品（医薬品を除く。）","211 石油製品","212 石炭製品","221 プラスチック製品","222 ゴム製品","231 なめし革・毛皮・同製品","251 ガラス・ガラス製品","252 セメント・セメント製品","253 陶磁器","259 その他の窯業・土石製品","261 銑鉄・粗鋼","262 鋼材","263 鋳鍛造品","269 その他の鉄鋼製品","271 非鉄金属製錬・精製","272 非鉄金属加工製品","281 建設・建築用金属製品","289 その他の金属製品","291 はん用機械","301 生産用機械","311 業務用機械","321 電子デバイス","329 その他の電子部品","331 産業用電気機器","332 民生用電気機器","333 電子応用装置・電気計測器","339 その他の電気機械","341 通信機械・同関連機器","342 電子計算機・同附属装置","351 乗用車","352 その他の自動車","353 自動車部品・同附属品","354 船舶・同修理","359 その他の輸送機械・同修理","391 その他の製造工業製品","392 再生資源回収・加工処理","411 建築","412 建設補修","413 公共事業","419 その他の土木建設","461 電力","462 ガス・熱供給","471 水道","481 廃棄物処理","511 商業","531 金融・保険","551 不動産仲介及び賃貸","552 住宅賃貸料","553 住宅賃貸料（帰属家賃）","571 鉄道輸送","572 道路輸送（自家輸送を除く。）","573 自家輸送","574 水運","575 航空輸送","576 貨物利用運送","577 倉庫","578 運輸附帯サービス","579 郵便・信書便","591 通信","592 放送","593 情報サービス","594 インターネット附随サービス","595 映像・音声・文字情報制作","611 公務","631 教育","632 研究","641 医療","642 保健衛生","643 社会保険・社会福祉","644 介護","659 その他の非営利団体サービス","661 物品賃貸サービス","662 広告","663 自動車整備・機械修理","669 その他の対事業所サービス","671 宿泊業","672 飲食サービス","673 洗濯・理容・美容・浴場業","674 娯楽サービス","679 その他の対個人サービス","681 事務用品","691 分類不明"," 行和"," 感応度係数"
"011 耕種農業","1.0308891103847064","0.226004181459406","0.022057736809847323","0.008558165971864894","0.028926503187566677","0.0","0.0","0.0011264043271036774","0.24835346782615866","0.04388528793593146","0.40676373835038876","0.0","0.01032546497561604","0.007092839546542979","0.002711639991736126","0.001295239382358104","0.0032813315140316364","0.0017704918544149436","0.0011247489373513064","0.0005305121946579658","0.0007945379337658631","0.00023028823643119728","0.002729813017681407","0.001999305713623167","0.001202214167072037","0.00622039522018673","0.010123765515218335","0.00003530272378794228","0.00010791565873562865","0.0010098771354246111","0.05832012940395548","0.051924302061762795","0.0003970393601718713","0.0006658976984656698","0.0000431024094938878","0.002100731135952041","0.00017974880080193908","0.0004033092658205197","0.00042908100521470133","0.0003531043665451442","0.00025398277810542404","0.0005753083358741913","0.0006725127868491713","0.00042286039919521866","0.0011194203636085852","0.0013217528837360518","0.0011210734419889702","0.0010845182978677843","0.0007277405456772181","0.0012515530014582253","0.001229326913391509","0.0008060761905511252","0.0007614300548066283","0.0006551566572444693","0.0007034840245689368","0.0","0.0","0.0020202404294645975","0.0017639563522983284","0.001370112731648669","0.008848624977016379","0.0004716008935395523","0.0014856267909863538","0.0006495102800960042","0.0031931897317611585","0.0019863094771863372","0.0003063718043789928","0.0003183048756536398","0.0004947651305441666","0.0008755294417790476","0.00043882378064482355","0.00020726552726847776","0.00014843561437079784","0.00014049648647761323","0.00005859023326950885","0.00026960177519922665","0.00033041852835961","0.0013593371847139815","0.00044029714840333365","0.00048302773577935305","0.0002898543408442123","0.00028319054549089","0.00041677451247232116","0.0001521856571508817","0.00042452725024410464","0.0005962161253162851","0.00037344725144557465","0.0004999594353646107","0.0009331422478751329","0.0004230822901835011","0.0004646378981203022","0.0021905171680885183","0.0027180354810745558","0.0005833296735139881","0.012177899524536845","0.010225274210701081","0.0028505654080606437","0.0007423002912047052","0.0006099859003435459","0.003444170808161519","0.0002968919773125682","0.04095821167384529","0.06732142537947029","0.0006003279155081876","0.002787021158393846","0.011176123339333889","0.003324413643256349","0.002792920478938829","2.3939897906718106","1.072738936528707"
"012 畜産","0.0044389923271136575","1.0557049327464172","0.022270228639139963","0.0007353355461210979","0.002344393186669609","0.0","0.0","0.00021689220619795777","0.036534603880762496","0.004931419598309247","0.016667646864644944","0.0","0.0010734753939567942","0.001094335868750553","0.00029342611710327354","0.00018683271605652758","0.0004686662057356441","0.0002556083003219291","0.00016938421974919604","0.00010359459855318626","0.00022041454905832243","0.0000518767736012197","0.0003472380119574598","0.00033869139158114047","0.00020308228350678507","0.0008836462968330295","0.0015499782629987754","0.000008050045383690273","0.000013500794407838327","0.00018523887621265916","0.0004033255344552221","0.05192326974339682","0.0000951242295478852","0.00008652417038909521","0.00000452994500414328","0.00021145762017545008","0.000024166000563861548","0.00006640434744436815","0.00006603549539554205","0.00006210437828758721","0.00005386134613065943","0.00009571629331970406","0.00010904578676699164","0.00006327088428152005","0.00015592380762976578","0.000109727909641407","0.00043978674166676886","0.00021051527591114984","0.00023456477651183542","0.00020684074047716498","0.00020901533082060553","0.00021570345314024655","0.00013513158562825756","0.00019907249094895565","0.00022916555836681313","0.0","0.0","0.00022141638048115276","0.000129806182568341","0.00010300727649791323","0.0005347325575865149","0.000036591019810396334","0.00008092569994244785","0.00008006903880315627","0.00006631014472948506","0.0000680939575144046","0.00003112150093429448","0.00017481638897232446","0.00004963262777445068","0.00004201298774018322","0.000041779349661885825","0.00003302452323612617","0.000018455466253253073","0.00001931756864268296","0.000007231880623200858","0.0000369293306811189","0.000022535664474234655","0.00005580674236464428","0.00003739724884864336","0.00004882412231404155","0.000026649803644775132","0.00003497876251104835","0.000040625210115991986","0.00003510350657533985","0.00020318172045101255","0.00007444448951574263","0.00006048508034255487","0.00018136021831159988","0.00011181924666026995","0.00005317500704788938","0.00003862667567205993","0.001694527522485519","0.0004017207658699893","0.00008585988039268663","0.0017856069681044995","0.0016340774096662398","0.00017703639796134605","0.00007296953100962798","0.00008014808193821466","0.00012768214981502814","0.000038660553276725276","0.006238664589519427","0.012062795834961714","0.0000816421194430913","0.0001014263195228488","0.0007898660181709423","0.00029642989283980173","0.0004410295473700657","1.2358122001106973","0.5537633746232171"
"013 農業サービス","0.03859840845089348","0.1164933675856614","1.0030984872490925","0.00039260417503798634","0.0013114507032519717","0.0","0.0","0.00006499703038797525","0.012932409834062917","0.0021306067960597504","0.016758438608931534","0.0","0.0004928516321181804","0.0003756764868414705","0.00013141681823866032","0.00006844033314487203","0.000170725963658135","0.00009283063199039049","0.000059939848719405685","0.000031278162474975545","0.00005341119493166983","0.000014212448527983487","0.0001377136606755869","0.00011028099689945324","0.00006597249217855789","0.0003238094528365492","0.0005364744883117024","0.000002214586300117885","0.000005597027526649585","0.00005758932089983423","0.002200850952662105","0.007240865320193615","0.00002499211821399706","0.00003477763636245804","0.000002212045436982317","0.00010036074767725332","0.00000951817726384466","0.000022311614982543287","0.000023837562123082164","0.0000203341917223923","0.000015692790544878916","0.00003209419980039733","0.00003812115007355151","0.00002329303346178517","0.000059234853729621525","0.00006189209695917762","0.00008799551787540398","0.0000631433939898719","0.00005381022203718654","0.00006972064006474772","0.00006998718614288727","0.000053915467814326185","0.00004417081402127347","0.000047127077032831677","0.000051265481705262014","0.0","0.0","0.00009884470787302118","0.00007998483401718729","0.00006252318038841807","0.00038375602529067447","0.00002199017510132544","0.00006479417011162368","0.00003364642061783789","0.000126296921235811","0.00008177916861527278","0.000015678178704473845","0.000030757085509855785","0.00002494191569940954","0.00003747051823020805","0.000022117913506687607","0.000013397016708575733","0.000008766764110950922","0.000008527665875096583","0.000003206566710500111","0.000017803856386618174","0.000015413821024473823","0.00005717576941080458","0.000021227866149842037","0.000024660004735339082","0.000014945948550147232","0.000015341526009073058","0.000021039932086407016","0.000010150738509291304","0.00004443623963465449","0.00009713251033639371","0.000024135758889764034","0.000046970693498083774","0.00010045482951480748","0.000022159442099022365","0.0005191432446567709","0.0002562607253892954","0.00014307476808966813","0.00003152210825436416","0.0006349526158983202","0.0005464143552745491","0.00012590580929348037","0.000036280713407247615","0.00006952448333275362","0.00014187541217115684","0.000017214419658537245","0.0021584397129523923","0.00372862598040643","0.00003298616874855022","0.0011775255287584142","0.0004970215138518921","0.0001548018147572979","0.0001697836639367765","1.2170556114755238","0.5453586090624768"
"015 林業","0.0003553322053853995","0.001672750680275808","0.00019875334355123688","1.1341429426488194","0.0010391688713285686","0.0","0.0","0.000478222751560931","0.0014383005635082485","0.00036798317715449474","0.003292742514995577","0.0","0.00026611928313413456","0.00042777941824660736","0.2208089019481937","0.03604221350559375","0.00028200658935197386","0.00028462493434472033","0.0001580498384267343","0.00015860197919910824","0.00047040302174794154","0.00006426637377240826","0.00025253325834428167","0.00027539724892789824","0.00014380893894124156","0.00027128445108511067","0.00042842984937666517","0.000012310216005898216","0.0000438105884399846","0.00026321046450450164","0.00023296197581652674","0.011560306095009267","0.0001423525601848768","0.00026898791422354923","0.000025944030979112522","0.000786052792999391","0.00008271074191245018","0.00015256257721740502","0.0002191692326266402","0.00016308215946077544","0.00013971859612665864","0.000658531408836903","0.0002871183860807056","0.0003585423359282761","0.0003280534108976714","0.00023135564364298525","0.00030976256294397615","0.0001845396694661602","0.00031714989764928967","0.00030372155433434515","0.00032898804668585126","0.0002462043103473438","0.00027461214135354934","0.0002448409585115466","0.00018235193579943689","0.0","0.0","0.0003162619563528837","0.0007768593625951857","0.0008126659113080096","0.007733046697637928","0.00011961090379413316","0.013522290016863472","0.003963367469047488","0.0005840130854482795","0.0009892893323702884","0.0002719876490138837","0.00022622314635509634","0.0003632583779459561","0.00021324170815844104","0.00027307412476433997","0.00019541168468062127","0.0001304013011723777","0.00016521207876154725","0.00018242860796950316","0.00022611114230426145","0.00009544617309692215","0.00032999685972338373","0.00028653025482532757","0.00048613310219792626","0.00014703722369751725","0.00033213451705285267","0.0012066684336606492","0.00006345312307365271","0.00027616376211981","0.00029446770313004813","0.0002554341486807735","0.00033997406029004346","0.00041382653201590703","0.0001877829041503974","0.00015808856206670627","0.00031236734474348324","0.00023103778189868468","0.00016909309688513673","0.0006972098356311301","0.0005159826171634117","0.0006390063669194666","0.00019970823788071246","0.0002598683655291782","0.00021516641279294306","0.00024013880929587303","0.002466904182646724","0.002931557973351884","0.0002204563668838416","0.0004774002473628872","0.0007052212810895104","0.0013634345743875737","0.0008146536058237973","1.470066668619863","0.658732030047224"
"017 漁業","0.00022677789501122683","0.0059238321711043715","0.00040433066442237134","0.0008228970165675566","1.050786241113957","0.0","0.0","0.00010295006612153955","0.04233695043360498","0.005652909375481335","0.01305933523382725","0.0","0.00013763575861788983","0.00036467516266343276","0.00032509690689570993","0.00022320919640963772","0.0005322074357198721","0.0002663730260935948","0.00016738234045626143","0.00004835372672821759","0.0000877263657128232","0.000026138857530834007","0.00028689371127881333","0.00021892911485145772","0.0001255622234692628","0.0006195857048703255","0.0016034007974539243","0.000003832538281878424","0.000009997532590941861","0.00011134770129453449","0.00010469850283902402","0.007382310536570593","0.00004652097485753037","0.00005772049226199188","0.000004095183720357943","0.00020478776469101762","0.000014570860903185357","0.00005573154323814492","0.0000912943769261376","0.00004762065021671972","0.000022622483533452554","0.000049650890271749124","0.00006695694638302846","0.000050874319152864246","0.00006958297494787035","0.00006022319190150319","0.0001309018501892785","0.00006069992705950246","0.00008369814210627617","0.00007965218807569686","0.0000755225792472914","0.00011065248869074877","0.00007765831994978588","0.00010081595561652272","0.00006848980580185154","0.0","0.0","0.00009536645531815328","0.00010523247182562435","0.00008194472945142415","0.011706400092082493","0.00002880206943037238","0.00009089687746273568","0.00014198632113657426","0.00008520899041569862","0.00008098392353667027","0.000023718750915125086","0.000044060189929686766","0.00005805706556312634","0.000048566321920500635","0.00004121448264205897","0.00004285134503122349","0.000031029449416163244","0.000027457430140933293","0.000010879190888514189","0.00003397239547869393","0.000023859552622625584","0.00005050073677391912","0.0000393524342098601","0.000056658269072782364","0.00003661517100665616","0.00004229529032271559","0.00005377556957623597","0.00002197095175791478","0.00008414273760480205","0.00011706502713135171","0.00009666625655205912","0.00009071587814454616","0.0003063779645773675","0.0000665348524169952","0.00006374991986870202","0.0002100878893049733","0.0004637603211425403","0.00007441144684051582","0.002709173459366861","0.002538984074723756","0.00017579036728369634","0.00010746167840609129","0.00014919972703320163","0.00008092483026017475","0.000099828033984303","0.01006807396741013","0.01722494314232263","0.00011453425154864683","0.00016017631588988493","0.0012302303386981768","0.0019006558413957465","0.000532993786137459","1.1853620636561426","0.5311568347211402"
"061 金属鉱物","0.0021009878472543772","0.002457032310637864","0.0021014253696911905","0.001486741052257571","0.003439611319662454","1.0","0.0","0.003396950184062309","0.0020274031475219284","0.004589067688322471","0.0016909379409288175","0.0","0.0018425760488684122","0.0016752096252019193","0.0024059282097683267","0.00770803505280757","0.001575046395854207","0.0013579309907004585","0.001560232153492941","0.0033221880512605724","0.023546511007113004","0.0007857373197206641","0.0038573380316707095","0.0035154383499981395","0.0017803132399860275","0.002852315625997876","0.004710195096783153","0.00011531006366359078","0.0004479383509399232","0.0031410244353523215","0.005075010812978295","0.0028938168966155036","0.009379129674092428","0.0041936714146118695","0.00012508389681018065","0.006924300350437378","0.25115122240978643","0.1311473855705108","0.05431226984720324","0.07109256908036785","0.33274312277289486","0.17846919685929136","0.05168318575467432","0.04216161026676752","0.024848829718649205","0.02179639346729398","0.014544214766356662","0.0188532441346778","0.02887237198019727","0.028778114484522874","0.02331448198468074","0.015472266656111159","0.05449930759022978","0.014424295135771967","0.012901108305692346","0.0","0.0","0.023569045359812642","0.030571142088968883","0.01949639127854673","0.013945206230487568","0.0010918964736972268","0.011251951621014904","0.013964161543772096","0.00804663251281208","0.015242176120030867","0.001473597455942033","0.000940938703617796","0.0028890025798266276","0.0010756272243321254","0.0012606128012483961","0.0008497280556705307","0.0010047964407865911","0.0016828289751820158","0.0006612641982476281","0.0029649593259486393","0.0011135558760619476","0.0033859700279016422","0.0019879574821216805","0.004087963763417853","0.0011586859459270867","0.0017304641689186153","0.001833016069060103","0.0003591514632571439","0.0013992291721200837","0.0013077740237044935","0.0011509547499451917","0.001767166576693831","0.0019493732052458619","0.001379205641489082","0.0013583295094875953","0.0015203076780602818","0.001704407936872512","0.0018264990269426414","0.001411452939696235","0.0009914479936616824","0.0012383757714471064","0.0021202642433621813","0.0012621159382639607","0.010673933773201808","0.001229632514319416","0.0013213955910208798","0.0015728252659591969","0.001290547761598192","0.0009036826042082232","0.0011791737285848907","0.004718630514179355","0.06014268200410575","2.762203760691525","1.2377344031564554"
"062 石炭・原油・天然ガス","0.05379937746713212","0.04910642368028258","0.04193234839631117","0.0373042550596226","0.08761623063375149","0.0","1.0","0.13021221217325207","0.04496696300944393","0.041480848032032044","0.0521441829249419","0.0","0.08222987202805451","0.058420108797779986","0.03987743011083665","0.04064870925380892","0.04628162753217681","0.038541709251349435","0.0329795664178434","0.20448285073751593","0.1628701127739897","0.4654762161177135","0.23792350526330294","0.16688100065384534","0.13068987833617093","0.0453609780828608","0.08898397963930317","0.6607136827699486","0.7989233870142612","0.07842180845599471","0.06460519030109182","0.04301217200751446","0.08952729794007915","0.11783101002710382","0.06343051005840784","0.07828291816508255","0.16140710342872708","0.12663684180413176","0.12449707624102403","0.08484874040309101","0.1067852810850779","0.08466524376728653","0.07276934867687307","0.0595564136710398","0.04499221861969306","0.04204252275202481","0.04418748628130486","0.051343194779631715","0.052660387728409","0.04386426024443225","0.04439011753056893","0.03346442959507686","0.05994517556973929","0.03326634516466517","0.03464371769149016","0.0","0.0","0.051181971491788554","0.05099358904602082","0.05547688983642049","0.0464817610287151","0.06401579756906836","0.03991977090477139","0.042326755516758664","0.0742466666796642","0.050709499293158114","0.5178055315904581","0.48846383744450117","0.06120725899725341","0.04981076947035976","0.037021927872536914","0.012401437251373366","0.023891749498392092","0.01212768916337869","0.0033233989774474624","0.03162431145519451","0.06283007733407937","0.24909277380556172","0.11881532211858552","0.15412053672016454","0.031845139388760324","0.037299201062721735","0.018271382990264144","0.019024034648992827","0.019139726106360905","0.02023698869707591","0.015250875434930757","0.020545083830499543","0.026793580516751393","0.023814187614812087","0.02200775973730786","0.027832678163823427","0.02512084011157799","0.026670638394718244","0.02668376960057012","0.02095043555430499","0.020220645496747066","0.01737978182900232","0.02323543438816832","0.03613319129121404","0.01537277628183795","0.04869489717916172","0.039993439778983945","0.0346151438318011","0.03670454036073786","0.03716913366292421","0.045637356562545243","0.16567229950092896","9.88112855323027","4.427701144423471"
"063 非金属鉱物","0.0006790873167559851","0.0004558744559354363","0.000400977147852829","0.0004027111556322223","0.000052427899501042625","0.0","0.0","1.0000140266816135","0.00032403536692099687","0.0004500018424277137","0.0004749542071363868","0.0","0.0003632963803108069","0.00026954785919434195","0.0002012350501067104","0.001558137120303909","0.0008817161439049551","0.00041976061852497465","0.0002468634497803333","0.009592823601685762","0.00704055239196276","-0.0006193859586826995","0.0008293833144326331","0.000756000768071543","0.0003626865633535724","0.0009338112974177281","0.0010719567807090148","-0.0011092639978872026","0.0018456917499475368","0.0006285905361889642","0.0006583754127054784","0.00022890925551578633","0.04283824304872586","0.08126341682836626","-0.00009413993045231387","0.06969496917768424","-0.0019863048269606245","-0.0008719903370887066","0.0008086421101098227","-0.0004286763693985043","0.0005202391757918436","0.0005983624145917869","0.00023627925680003595","0.00021820196490389288","0.0006762712388538257","0.0006309000435730915","0.003996140054705436","0.0014989457349273729","0.0009816015814306887","0.0005584396470985158","0.0006019289389703393","0.0006313510259061591","0.001621931586956459","0.0005613450374115937","0.000531483045350012","0.0","0.0","0.0004156960664556991","0.0002567426706284897","0.0006931615811337133","0.0035207465710105296","0.000000859230227425868","0.00498544663654155","0.0046632369384528504","0.020784804636866782","0.018220162198646528","0.00011638777974503488","0.00015448522295559598","0.0006929351587045997","0.00014213332280167565","0.00007372476291175172","0.00006404899687298705","0.00009128928272765791","0.0001236882023497928","0.0001981791749551316","0.0001775612487707552","-0.000030014545255245672","-0.00008642189080743983","-0.0000941474826267774","-0.00005574946534387229","0.000056418322507662206","0.00015008181920660266","0.00016394600588869463","0.000013873545183881195","0.00009745732559641844","0.0001597119177493643","0.00008993060866939837","0.00014226698238974214","0.0002370968869755209","0.00015177102077577518","0.00015775479112004206","0.00030156514665686304","0.0002726926253303053","0.00037260316169319307","0.00013579467829035016","0.00010650649160237192","0.00011812179955818407","0.0001483702922429004","0.00013952041904131027","0.0006806292709690725","0.00007605389735961265","0.00011920084109202862","0.00015017250487164854","0.0001082486477471865","0.00022223414051537568","0.00017967530480979203","0.0013238754796961803","0.0010351791818812655","1.2965220742677268","0.5809672691819018"
"111 食料品","0.005453850864795853","0.14815456218498374","0.009631093202237904","0.02270217170740876","0.06518939663103324","0.0","0.0","0.0015950125037423942","1.1941141761885565","0.1585580422192245","0.32508376117809623","0.0","0.0030528771343075875","0.005687236854828536","0.007945397389019148","0.003611299921207772","0.01417976808674158","0.006831188218146293","0.004138726398918521","0.0008131029024520574","0.001558492965811154","0.0005172909635690084","0.007221564637141896","0.00515906796751251","0.0030003491990366464","0.0127262059496628","0.04409860014560333","0.0000648577640778348","0.00014302702577256136","0.0023537332466317647","0.0022092962041088526","0.20436748147023134","0.0009028499374149414","0.0008226700847899594","0.00004380210042467006","0.004980035370884283","0.00020164293397201876","0.00036073388721799624","0.0006757949648686476","0.0003783016755847983","0.0002631397755583551","0.0006586525188103797","0.001017801921859728","0.0007566065306749955","0.0009213559396176409","0.0007539828008425372","0.0021800514349734745","0.0008334476058723592","0.0010355298890034248","0.0009827707734039826","0.0010874238967572142","0.000880806634163491","0.0012381610122645281","0.0007880926390628093","0.0009756348495219431","0.0","0.0","0.0015113117944463893","0.001980869412829103","0.0015864095085871082","0.006992609007542661","0.00029728449533984096","0.0013225015179555012","0.0012410714171849455","0.0006456424067191216","0.0006961566177224484","0.00026285846198541583","0.0008795136880346473","0.0005924964526304206","0.0005075153978119782","0.000416965340593536","0.0003862570746621015","0.0002493964805771244","0.0002875022535820858","0.00010019628410564437","0.00042350592480256815","0.0002447183240463613","0.0005434746466541712","0.0003789548678260252","0.0006730694293359536","0.0003498106987469249","0.0004651252559148677","0.0007495479335056242","0.0002519615336466979","0.0010110324185106897","0.0007558611376657797","0.0005481548714248028","0.0009410976071314825","0.002134457726997954","0.0007113727081964607","0.0004538470347165602","0.0023127959619857297","0.006126984280899183","0.0012935040342758554","0.028251421831834954","0.02567369720338859","0.002570031369979988","0.0006019040364999582","0.0012150440512393927","0.001117824552517103","0.0005671444213267488","0.10215298012122356","0.20584832739214104","0.0013589888262568097","0.0009624446036797745","0.01190386678615768","0.005927806178689774","0.00777239523458231","2.719150630920514","1.2184424375746699"
"112 飲料","0.00008700767665511008","0.0004015770102408637","0.00010048604588303789","0.00009782249430336887","0.012723249290968675","0.0","0.0","0.00005591533039382451","0.0024733923408152393","1.1077076554341083","0.000736866366390596","0.0","0.000050710915124103476","0.00006660290121828116","0.00007384477350710223","0.00005921518077250399","0.0001102373129391761","0.00007428952183624311","0.000054032042178652396","0.00002710327382961934","0.000044100392491743026","0.000012719116886948521","0.0001327266944092188","0.00009847380681802511","0.00006170726519364823","0.00007664464476611849","0.00014931670414786353","0.00000349594493554921","0.000012137401597761215","0.00006270984551428517","0.0000692571110335846","0.0005054820691557448","0.000027404878889308954","0.00005781746443975341","0.000013786333115302207","0.000048238970159883704","0.00002265352563851152","0.00003308856148007078","0.00005403203986823902","0.00005435504385380347","0.00002876816127162584","0.00005012788731661937","0.00004614434078236754","0.00004374047601862516","0.00008511303292829789","0.00006439574590732038","0.00005182608481115648","0.000034411009245773926","0.00004015241372653828","0.00005564016587666729","0.00005177620399330157","0.00004224224738524836","0.00004721772446422421","0.00004301169550458192","0.00003617698863850243","0.0","0.0","0.00004586352425202813","0.00006858315752119843","0.00009592129943016604","0.00019891966462478556","0.00003508163598892883","0.00008800823598694764","0.00008906577531226728","0.00007281421050544069","0.00007556766681579485","0.000028481858083882138","0.00002074320315860544","0.00006249981552910079","0.000021763504037553294","0.00014815371933277503","0.00003398376728902891","0.00004221367330067704","0.0000702238435861824","0.000008721320081170993","0.00007804120059183188","0.000038594906345558944","0.00007380154853562489","0.00005846921358406606","0.0001510010111163364","0.000047274441750657886","0.0000623428709720161","0.0002984967768984944","0.000013684449130612079","0.00005765315631369042","0.00005118806224319315","0.00004361149750899509","0.00006916444861777068","0.00007709684000817488","0.00004806571371116109","0.000054777123612595224","0.00005086653336509811","0.0009462904106769891","0.00006201242924514755","0.003290504083215655","0.004001516503219073","0.00005037900262265569","0.00004584141292390581","0.000054101753713159914","0.0000628300060496538","0.00007665998020492527","0.03164183203212118","0.08390111057191552","0.000040341120084580516","0.00003205978282950098","0.0025277375165857425","0.00011328879358370736","0.0029242509304272983","1.2594123959019925","0.564338544589969"
