"""","011 耕種農業","012 畜産","013 農業サービス","015 林業","017 漁業","061 金属鉱物","062 石炭・原油・天然ガス","063 非金属鉱物","111 食料品","112 飲料","113 飼料・有機質肥料（別掲を除く。）","114 たばこ","151 繊維工業製品","152 衣服・その他の繊維既製品","161 木材・木製品","162 家具・装備品","163 パルプ・紙・板紙・加工紙","164 紙加工品","191 印刷・製版・製本","201 化学肥料","202 無機化学工業製品","203 石油化学基礎製品","204 有機化学工業製品（石油化学基礎製品を除く。）","205 合成樹脂","206 化学繊維","207 医薬品","208 化学最終製品（医薬品を除く。）","211 石油製品","212 石炭製品","221 プラスチック製品","222 ゴム製品","231 なめし革・毛皮・同製品","251 ガラス・ガラス製品","252 セメント・セメント製品","253 陶磁器","259 その他の窯業・土石製品","261 銑鉄・粗鋼","262 鋼材","263 鋳鍛造品","269 その他の鉄鋼製品","271 非鉄金属製錬・精製","272 非鉄金属加工製品","281 建設・建築用金属製品","289 その他の金属製品","291 はん用機械","301 生産用機械","311 業務用機械","321 電子デバイス","329 その他の電子部品","331 産業用電気機器","332 民生用電気機器","333 電子応用装置・電気計測器","339 その他の電気機械","341 通信機械・同関連機器","342 電子計算機・同附属装置","351 乗用車","352 その他の自動車","353 自動車部品・同附属品","354 船舶・同修理","359 その他の輸送機械・同修理","391 その他の製造工業製品","392 再生資源回収・加工処理","411 建築","412 建設補修","413 公共事業","419 その他の土木建設","461 電力","462 ガス・熱供給","471 水道","481 廃棄物処理","511 商業","531 金融・保険","551 不動産仲介及び賃貸","552 住宅賃貸料","553 住宅賃貸料（帰属家賃）","571 鉄道輸送","572 道路輸送（自家輸送を除く。）","573 自家輸送","574 水運","575 航空輸送","576 貨物利用運送","577 倉庫","578 運輸附帯サービス","579 郵便・信書便","591 通信","592 放送","593 情報サービス","594 インターネット附随サービス","595 映像・音声・文字情報制作","611 公務","631 教育","632 研究","641 医療","642 保健衛生","643 社会保険・社会福祉","644 介護","659 その他の非営利団体サービス","661 物品賃貸サービス","662 広告","663 自動車整備・機械修理","669 その他の対事業所サービス","671 宿泊業","672 飲食サービス","673 洗濯・理容・美容・浴場業","674 娯楽サービス","679 その他の対個人サービス","681 事務用品","691 分類不明"," 行和"," 感応度係数"
"011 耕種農業","1.0106052714093097","0.022312765798739597","0.004271646740095481","0.0016998980987857244","0.00122109465710526","0.0","0.0","0.00005126077037153898","0.08300483074130517","0.006574050569664169","0.1379641280626808","0.0","0.0029661514405612617","0.0012571386517759224","0.00018830771038009958","0.000036246396989359136","0.00015363671400758287","0.000037176280753824226","0.000028853759000266188","0.000017230478127569244","0.00003225274057113381","0.0000061470842007079","0.0003464729972040914","0.0000459185733074783","0.00001981045901011552","0.0012862360052608493","0.0008716446183630606","0.000001566081469340521","0.000004933750006038462","0.000017848670540148633","0.021658381388471048","0.0038084582138800467","0.00000865209945903185","0.000029197118095583116","0.000004169856133361168","0.0003333264807764689","0.000009545390104902838","0.000018951344025587517","0.00001858405581727933","0.000016892838007522096","0.000009178952330104945","0.00006827220731142955","0.00002837182032555397","0.00001703128137001953","0.00004987828924251886","0.00006557957252114402","0.00003071605876212621","0.000042698162837898605","0.000017281687926763917","0.00004877800225924416","0.00004430085562308178","0.00002144735434883816","0.000021746844725362723","0.000013421530877834827","0.000010102070279324677","0.0","0.0","0.00006176659091822526","0.00009287698703578969","0.000054965020260179486","0.0025807319439738324","0.00002259951691354005","0.0003610783521844241","0.000024888406184543306","0.0010422809585167152","0.0005649379220786892","0.00001434897599132734","0.000009936550386360268","0.000026786491548093736","0.000049880220545636526","0.0000698144182520618","0.000008256362348474463","0.000011267661126380525","0.000010991625077379506","0.000004822508173825755","0.000011014560107604054","0.000019611121035996532","0.00007299217983001651","0.000020662915773851187","0.000019446629695067587","0.000015160258701302802","0.000016970089011609364","0.0000552066324236411","0.000005330656499427727","0.000013103284338865444","0.00007334085645456235","0.000019196837944076828","0.000016558041616722577","0.00006854771858175225","0.00002783003853775212","0.0000704477459575275","0.0000616745145703022","0.0003315686549066952","0.000019009380006152712","0.002776934465953897","0.00215537608724374","0.0007392148228833312","0.00006610664275027096","0.00003365030272001326","0.00019315997003698825","0.000016906735708892964","0.009082455989374497","0.012486520570292812","0.00005487193986427839","0.000782131858723856","0.003495571827398362","0.00011874117354578761","0.00027133030003688403","1.3396403580491405","0.9904506399023782"
"012 畜産","0.0015202457894225143","1.0177911938978366","0.008000249751868908","0.0000594526924964386","0.00013094559454071398","0.0","0.0","0.000004829998188189819","0.011495124700224593","0.00038273849450198437","0.0029547624155178407","0.0","0.00027407253666788937","0.0001474203645044377","0.000011924182197435663","0.000007509507466496115","0.00002145894853530104","0.000007234949068848512","0.000006903585869662919","0.000014295090284615058","0.000048115527025979745","0.000005923973085342863","0.000035839102207246505","0.000037759796852494656","0.000019827506391087535","0.00017733868958782058","0.00014560687267610925","0.000001745457268875184","0.000001523300882497736","0.000014677181728073587","0.00005015524854559021","0.01608667279742463","0.000012832689099744316","0.000009971355309595534","0.00000024101129817189","0.00001455236721078918","0.000003840607324074913","0.000010094072275542368","0.000008818643169158856","0.000009694611466589758","0.000010545391437741532","0.000012337415456433173","0.0000099578273232276","0.000006235716619492092","0.000025478257072839645","0.000015251815380018687","0.000029784002324570578","0.00004007581743696978","0.00004296603403915574","0.0000370920146465258","0.000035033125519931574","0.00003927748592619069","0.000013940325634709827","0.00003336701867166283","0.000040075423292675805","0.0","0.0","0.000025942586458401864","0.000010440891121636463","0.000006364795031730948","0.0000717398752282094","0.000003439824171301557","0.000003597184299243355","0.000003064302777426622","0.000005052775731499846","0.000004329392619280759","0.00000368837062376541","0.000008793090871068935","0.000002011139996258696","0.000001222365003150023","0.000002987410038865254","0.000001127610728953713","0.000001059418097841633","0.00000146033478364321","0.000000299639575703979","0.000003469261541401758","0.00000167984927101811","0.000001636372702733491","0.000002261989018977458","0.000002298531567060977","0.000001978439136265779","0.000003399132829624702","0.000002514007875721001","0.000000688682091795958","0.000011854092568834585","0.00000657698716047846","0.000009537957729545225","0.000017050252765066904","0.000006581241148098216","0.000001831753288826565","0.000005394801784296334","0.0005705355405110624","0.000049918766306899973","0.000003415571676640247","0.0003869017051710533","0.00034913902901559363","0.000007469327256736209","0.000004998143880973471","0.00000350958182955971","0.000003205104397542121","0.000001813527116854714","0.001349221419119084","0.002580231203166572","0.000002793652716471384","0.000011634635441769337","0.00014892311834637417","0.000005325252570849998","0.00005461451389515951","1.0656860354328614","0.7879050592851639"
"013 農業サービス","0.03754838835616642","0.10507266883844796","1.0009781039437047","0.000069262624519976","0.00005900050497440211","0.0","0.0","0.000002696223812444294","0.00424884790649797","0.000282659422789506","0.005407460323603642","0.0","0.00013796437811952747","0.00006180577706414061","0.000008473085388810612","0.000002319536075577753","0.000008041119929032196","0.000002285435621793184","0.000001934659984051603","0.000002274842364987195","0.000006583973775839667","0.000000921365918853376","0.00001683636175097723","0.000006134421051700752","0.00000283942610265232","0.00006633805596208627","0.00004771571556200198","0.000000261996054919971","0.000000397899461709772","0.000002315392600002098","0.0008071867204505575","0.001788987249102435","0.000001727414397458536","0.000002695492228303476","0.000000213153868859588","0.000014099195785616569","0.000000883312330415907","0.000001902754046769796","0.000002189769779701275","0.000001887608176997815","0.000001619473064307542","0.000003988172688419695","0.000003162217485182805","0.000001763299025940296","0.000005109611015383139","0.000004678005814295451","0.00000456614092239463","0.000005845228172992717","0.000006417653486126945","0.000006446578384893069","0.000006710085711396609","0.00000544968061615295","0.000003294497589258196","0.000004863431553842803","0.000004660951723803211","0.0","0.0","0.000005151871974765431","0.000005017273521717316","0.000003072180947181729","0.00010325968130183062","0.000001382298733498905","0.000014339348890250331","0.000001752360967818897","0.000039611449597854454","0.000021878441990812012","0.000001478775974271707","0.000001707294705145753","0.000001677936216498659","0.000002248546852748535","0.00000345357079138517","0.000000989300134723843","0.000000849349959410989","0.00000105237327440706","0.000000280728786836822","0.00000384412469007569","0.000001243683399519786","0.000003208512892222176","0.000001336702875827469","0.000001477260787871637","0.000001482226675010438","0.000001562464334422872","0.000002832226394639495","0.000000617589981679304","0.000006743764721752063","0.000059245672512647146","0.000003943034218938846","0.000008551539925444196","0.00004887913041529119","0.000001469360831245007","0.0005005792066081589","0.0000611539985032654","0.000017687326863403343","0.000001463160035769958","0.0001429217185332933","0.00011574112518348181","0.000028661684862408184","0.000003444444004801073","0.00001938919443133221","0.000007734705819781427","0.000001835322117654217","0.0004770576772862664","0.0007270869439146186","0.000003512608624654096","0.00109218533651889","0.00014612716451013145","0.000005096396461836618","0.00003419526484306003","1.1604763926431283","0.8579874283265121"
"015 林業","0.0000649447153829511","0.000029129612557828295","0.000004761869693385935","1.053141128037537","0.00013640382675548696","0.0","0.0","0.000024435132012201107","0.0003664101642773268","0.000016140426517709305","0.0005155925752388844","0.0","0.000019043743692084824","0.00001131350644185229","0.0764774275244086","0.0028901941216437667","0.000005951936429131105","0.000009229737935809099","0.0000034343408659837","0.000006666813912442756","0.00008620168853790182","0.000001807853980953933","0.00000855023392996919","0.000005810956803610145","0.000001806347595320301","0.000006750857246471934","0.00005016961500694607","0.000000396037168764081","0.000001314564628026255","0.000006315668641999736","0.000007657687816563352","0.0041376479760568685","0.000004933022882534781","0.000010855390686815668","0.000000856280072034056","0.00005053632045418176","0.000003372781874719988","0.000004926219878218724","0.000006912908787096412","0.000005850420188079972","0.000005119607532602056","0.000039953033221121954","0.000011628808991679147","0.000020105749354404115","0.00001149552150620157","0.000006240639545166677","0.000008067459517475616","0.000002546077929907904","0.000007664304384268738","0.0000068807790318853","0.000009341831989699383","0.000003101419518588759","0.000007018886167187911","0.000003257989118683645","0.00000163770807438639","0.0","0.0","0.000006974186379991992","0.0000420115439876719","0.000041272988783667724","0.0007166923289060749","0.000002690805069779461","0.0010734850099981081","0.0002701047511423257","0.000055318089565720754","0.00007680528023025021","0.00001535245508813988","0.000011234328641549622","0.000015058639659005374","0.000005277741091294452","0.000014289262676144462","0.000005059873829417632","0.000005466076630649928","0.000007455855423757432","0.000011131509492055716","0.000008914798358268788","0.000003146445950457736","0.000013417284857806311","0.00001021985699587145","0.000015949701350731715","0.000005298712894608462","0.000016451309853342242","0.00008710916940532298","0.000001400199385446822","0.000006687108124487837","0.000010623604153318173","0.00000458204510283775","0.000007522112173964772","0.000010744889369633065","0.000007909263563441979","0.000005440093925888921","0.000007624093573720829","0.000012389035779682312","0.000007839016284857578","0.0001093175553830327","0.00010570219286795746","0.000012830688784891211","0.000004848266663692767","0.000004060951706597641","0.000003723933061341324","0.000008406836331989135","0.0008102296481706905","0.0009450823811719059","0.000009497518316915886","0.00001851684149579329","0.00011058018561404596","0.00001804508763786058","0.00005791120854330178","1.1431066434968722","0.8451452658360461"
"017 漁業","0.000002204733052335846","0.000028024419832779572","0.000001997185529038037","0.00003000067291969704","1.0083559965521758","0.0","0.0","0.000001322473884097439","0.006334321842119483","0.00020594383726497845","0.0007110110403193358","0.0","0.000001777962564026638","0.00000724360396251093","0.000005618767081111603","0.000002738214967809376","0.000010827889656940278","0.00000188164513487703","0.000001444432761607241","0.000000398551184055077","0.000001301033067290659","0.000000231160748354418","0.000006977748636141378","0.000001569691208833316","0.000000451511545933365","0.00003464205152701689","0.00005517726174201329","0.000000057665103258224","0.000000139389824783375","0.000000582572948441249","0.000000909638094725818","0.0002631267331442387","0.000000268152903717257","0.000000820451121888937","0.000000045078723164213","0.000005481097833829258","0.000000243335176096295","0.000000910092517375156","0.000001699224330120952","0.000000743686319205749","0.000000272165797294061","0.000000558757019189965","0.00000068990617462947","0.000000639916685653719","0.000000927778398067212","0.000000753654596745528","0.000001222236526636981","0.000000365776383978915","0.000000809757800486581","0.000000781399514215071","0.00000062064763510382","0.000001528046723326541","0.000000724341610920292","0.000001289607438574779","0.000000425622113981289","0.0","0.0","0.000000617461311295425","0.000001468136866178873","0.000001070420686966531","0.0019061388628416743","0.00000032844370581551","0.000001337355761556237","0.000002584534556120886","0.000001549330339584872","0.000001479176292259319","0.000000355403806203323","0.000000385619445309912","0.000000938732845091034","0.000000699048391702148","0.000000728947492080503","0.000000571995601322408","0.000000722232168373299","0.000000879652186011251","0.000000219301412755042","0.000000835233723411598","0.000000498368111636894","0.000000514156065701546","0.000000619230756400889","0.000000933925449222406","0.000000655397205522176","0.000000856811740873324","0.000001123978871857254","0.000000270395765960183","0.000001124603814358753","0.00000243655141569849","0.000001804387167866974","0.000001110573188911394","0.000005907734278124169","0.000001928295199890772","0.000001467260868912639","0.000003156231179365418","0.00003647193468175175","0.000001111331486879788","0.0003182317359691922","0.00029509509405133177","0.000004232199299845906","0.000002162021176875941","0.000001736676199640221","0.000000918951016687991","0.000002076610420123452","0.001230447732815021","0.001968198082026777","0.000002197817935075443","0.000008766920872426792","0.0001376521707331851","0.00003789449112330469","0.00003113389473364882","1.0221153864704013","0.7556915051872009"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.7393406998761429"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.7393406998761429"
"063 非金属鉱物","0.000011886460878408958","0.000006193829408263846","0.000009353086139740472","0.000048109050141586714","-0.000004541267332293243","0.0","0.0","0.9999936952641917","0.000002621945917521806","0.000002922592182333496","0.000005400607497239202","0.0","0.000010004484227919095","0.000002232413861860876","0.000005251856763916243","0.000006300113491045059","0.00006437074537560386","0.000007904460366017766","0.000003853838445871732","0.0012283637436592","0.0008697242395684426","-0.000032568935122720724","0.00007459114292758382","0.000016399731509915494","0.000003773287433273273","0.00003271274289366941","0.00005112871706916114","-0.00017836625992485806","0.00029672859421747813","0.000005108470225650157","0.00004043033657886171","0.000003273241483890285","0.006313475697063164","0.012582044101494523","-0.00000656262149901735","0.011239044225863035","-0.0004472138922024976","-0.0001834434766608746","-0.00003900736423799081","-0.0000765478506957063","0.000013996134393028325","0.000007484702956278741","-0.000024262696980738795","-0.00001121956697871191","0.000009461241466350658","0.000007197744714431206","0.000006667850003496439","0.00003303991154604805","0.000008430203216637137","0.000002831860980223365","-0.000000915619126008231","0.000004577886036127638","0.000029079345673571168","0.00000376753997128224","0.000000698763215175933","0.0","0.0","0.000000675699384707925","-0.000012987011192810724","0.0000088397030316459","0.0004116975277567327","-0.000001411000367120251","0.0005047994269878506","0.00031421012734064014","0.0029514760293764364","0.002613428698515838","0.000003600342729604837","0.000008849023797731427","0.00002640089619218083","0.000004928355542483053","0.000001489082715066909","0.000001629604014377742","0.000004666752712916041","0.000007446591356103521","0.000013154991588633775","0.000007757515151256057","-0.000004545715834203401","-0.000017845956008666056","-0.00000744417620889273","-0.00001192496935272292","0.000001020348090003523","0.000007069265712398966","0.00000811978834573424","0.000000005368524410498","0.000003238691223936807","0.000005404339895807081","0.000001136107219019769","0.000004643328741231949","0.000004667107602536335","0.00000466922442787107","0.000005366419039573524","0.000004572795282353131","0.000001880049514976605","0.000006382642648139362","0.00000274940759877286","0.000001924562673626426","0.000001441949983917555","0.000001636098684660299","0.000001582553788189323","0.000002151538365794312","0.000001918294791984454","-0.000005261786840416753","-0.00000317112833777515","0.000002557190732654275","0.000008990094552659737","0.000007540284014534431","0.00002165885977497429","0.00007635294475849438","1.0390686205343276","0.7682257211251882"
"111 食料品","0.00023842003287130912","0.0035839182539175087","0.000149417765518421","0.004848586244837239","0.011142066198108199","0.0","0.0","0.00006880675446551596","1.0434467749961986","0.03384869768129953","0.07464756184603562","0.0","0.000227931201974406","0.0006527303151609121","0.0007922196893106021","0.0001575214067904779","0.0017362368844173173","0.00026860230861373206","0.0001966443528669396","0.000030091656286502472","0.00012379521042045166","0.00002361865623762766","0.0010830047505291582","0.00019323055797735442","0.00005196674153965865","0.00244971933880905","0.009004821286982765","0.000004768525443332644","0.000007660792699704821","0.000052596165784124556","0.00007802878337320046","0.042945337796512","0.000020553678289776232","0.00003817344384194528","0.000001126316007846451","0.0008265169622241999","0.000009180758740237206","0.000012592931201734482","0.000036593517631870005","0.000014759805555604134","0.00000793980520001127","0.00002318655334454524","0.000051225810727682455","0.000043015502354944387","0.00003544495879302964","0.00002981052757376258","0.00005302411643083569","0.00001203849550752738","0.00002829046975682033","0.00002837907138540253","0.000026200141934095167","0.000025303703747321585","0.000045464421036451394","0.000014305351952296762","0.000025107424792290904","0.0","0.0","0.00004467057660818251","0.00013453910525278127","0.00008304184060524933","0.0008940854635456951","0.000009352418766011772","0.00005507690345666612","0.000058644705238421036","0.00002910808493012247","0.000030600751396224414","0.000011403154629880215","0.00002522508539160867","0.00002666579539106782","0.0000203835087515623","0.000016106328083298787","0.000011680600954909144","0.000015285648503906452","0.000023253381138654894","0.000004766997611417633","0.00002309964961723465","0.000013685815562739025","0.000018331719622917504","0.000015970281173472612","0.000031599995154255496","0.000015735718852166728","0.000025146202532673205","0.00007644433867508529","0.000004832454835415818","0.000023605085851673977","0.000032100274250397356","0.000021484296189344667","0.000023399799565909556","0.0000854344524558648","0.00008632139052539092","0.000027291446179253957","0.00006062029431446969","0.0008080334279782428","0.00006614128039804195","0.006219151776012782","0.005473899089784545","0.00038889775680442737","0.000028701317228345902","0.00003944936871579627","0.000040806323087375296","0.000032737501182301025","0.022512700877360247","0.04524617030427356","0.00009539569049061002","0.00004812681300733289","0.002504602464814538","0.0001647049008905125","0.0009161605545083753","1.3201276829751636","0.9760241250567284"
"112 飲料","0.000009371646135255626","0.000009697694793760935","0.000010305242079032984","0.000007671390860465436","0.0022132530677226414","0.0","0.0","0.00000534472569846116","0.00030429211674443834","1.0196430389013953","0.000025526504854562285","0.0","0.000002743124464078431","0.000003835365975943302","0.000005239090608150856","0.000003587384776094081","0.000005062724251941773","0.000003307582495483521","0.00000302850184836269","0.000001542623747795763","0.000003553483596615794","0.000000627711086110909","0.000013876455773704778","0.000003188705563055825","0.000001450420584954758","0.000004344259133287109","0.000005727214450485123","0.000000315777707054214","0.000001114965502934992","0.000002613110959573182","0.000005184355679865718","0.0000212569418939695","0.00000151625613514073","0.00000591798067465369","0.000001423327915892128","0.000003369102369263552","0.000002469235724611917","0.000003043950086271824","0.000005821726315449341","0.000005728873706446266","0.000002502091117918763","0.000003546714401454322","0.00000312561262298712","0.000003758025139023396","0.000008252147504855186","0.000005704619604898895","0.000003631798737846371","0.000001638771603780064","0.00000203983044877562","0.000003639196798463282","0.00000322684613334504","0.000002696239103870659","0.000002694375666218003","0.000002751759811942492","0.000001375441664377285","0.0","0.0","0.000001545648174476974","0.000006327321321498001","0.000008594045462412082","0.000007663539348304734","0.000002689669010555969","0.000009747266463851477","0.000009846049440447643","0.000008037958354203315","0.000008592297100259703","0.000002995954137006899","0.000001898599483420997","0.000006832072753176045","0.000001792419497212617","0.000023968787383597557","0.000003344774506613874","0.000005201830218577763","0.000009841362660914813","0.000000947758564011424","0.000009940750105048043","0.000004708848623905712","0.000006702154424951935","0.000005501512891834403","0.000016601312050103895","0.000005408901696131901","0.000007792712121383032","0.00005086379419406378","0.000000916767097632855","0.000006362130917916086","0.000005019289322636115","0.000004269208883700656","0.00000665833896988105","0.000007412014227166859","0.000006444987432145113","0.000007470447607335112","0.000004777208546430351","0.00013561335323903685","0.000007615852102386155","0.0005590560129952284","0.0006316437807874823","0.000004765629721935834","0.000005149665968662198","0.000003360301405517139","0.000005060693511907251","0.000010609753791250384","0.0056944731683702355","0.015235467516384221","0.00000448967131616628","0.000003223659835467021","0.00045474533636557623","0.000004908531622030379","0.00044825100386167047","1.0458851266779436","0.7732654415481193"
