"""","011 耕種農業","012 畜産","013 農業サービス","015 林業","017 漁業","061 金属鉱物","062 石炭・原油・天然ガス","063 非金属鉱物","111 食料品","112 飲料","113 飼料・有機質肥料（別掲を除く。）","114 たばこ","151 繊維工業製品","152 衣服・その他の繊維既製品","161 木材・木製品","162 家具・装備品","163 パルプ・紙・板紙・加工紙","164 紙加工品","191 印刷・製版・製本","201 化学肥料","202 無機化学工業製品","203 石油化学基礎製品","204 有機化学工業製品（石油化学基礎製品を除く。）","205 合成樹脂","206 化学繊維","207 医薬品","208 化学最終製品（医薬品を除く。）","211 石油製品","212 石炭製品","221 プラスチック製品","222 ゴム製品","231 なめし革・毛皮・同製品","251 ガラス・ガラス製品","252 セメント・セメント製品","253 陶磁器","259 その他の窯業・土石製品","261 銑鉄・粗鋼","262 鋼材","263 鋳鍛造品","269 その他の鉄鋼製品","271 非鉄金属製錬・精製","272 非鉄金属加工製品","281 建設・建築用金属製品","289 その他の金属製品","291 はん用機械","301 生産用機械","311 業務用機械","321 電子デバイス","329 その他の電子部品","331 産業用電気機器","332 民生用電気機器","333 電子応用装置・電気計測器","339 その他の電気機械","341 通信機械・同関連機器","342 電子計算機・同附属装置","351 乗用車","352 その他の自動車","353 自動車部品・同附属品","354 船舶・同修理","359 その他の輸送機械・同修理","391 その他の製造工業製品","392 再生資源回収・加工処理","411 建築","412 建設補修","413 公共事業","419 その他の土木建設","461 電力","462 ガス・熱供給","471 水道","481 廃棄物処理","511 商業","531 金融・保険","551 不動産仲介及び賃貸","552 住宅賃貸料","553 住宅賃貸料（帰属家賃）","571 鉄道輸送","572 道路輸送（自家輸送を除く。）","573 自家輸送","574 水運","575 航空輸送","576 貨物利用運送","577 倉庫","578 運輸附帯サービス","579 郵便・信書便","591 通信","592 放送","593 情報サービス","594 インターネット附随サービス","595 映像・音声・文字情報制作","611 公務","631 教育","632 研究","641 医療","642 保健衛生","643 社会保険・社会福祉","644 介護","659 その他の非営利団体サービス","661 物品賃貸サービス","662 広告","663 自動車整備・機械修理","669 その他の対事業所サービス","671 宿泊業","672 飲食サービス","673 洗濯・理容・美容・浴場業","674 娯楽サービス","679 その他の対個人サービス","681 事務用品","691 分類不明","700 内生部門計","711 家計外消費支出(列)","721 民間消費支出","731 一般政府消費支出","732 一般政府消費支出（社会資本等減耗分）","741 県内総固定資本形成（公的）","751 県内総固定資本形成（民間）","761 在庫純増","771 調整項","780 県内最終需要計","790 県内需要合計","810 移輸出","820 最終需要計","830 需要合計","870 （控除）移輸入","880 最終需要部門計","970 県内生産額"
"011 耕種農業","2751.0","258.0","54.0","22.0","0.0","0.0","0.0","0.0","26936.0","520.0","455.0","0.0","273.0","61.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42.0","0.0","0.0","25.0","75.0","0.0","0.0","0.0","614.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","119.0","0.0","151.0","0.0","356.0","70.0","0.0","0.0","0.0","0.0","67.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","22.0","0.0","151.0","0.0","396.0","352.0","103.0","2.0","0.0","0.0","0.0","806.0","2851.0","2.0","102.0","327.0","0.0","0.0","37985.0","304.0","16953.0","0.0","0.0","0.0","1872.0","-87.0","28.0","19070.0","57055.0","84780.0","103850.0","141835.0","-34186.0","69664.0","107649.0"
"012 畜産","336.0","249.0","115.0","0.0","0.0","0.0","0.0","0.0","3886.0","0.0","7.0","0.0","25.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","116.0","19.0","0.0","57.0","60.0","0.0","0.0","0.0","0.0","0.0","127.0","706.0","0.0","0.0","12.0","0.0","0.0","5764.0","0.0","1678.0","0.0","0.0","0.0","346.0","-10.0","1.0","2015.0","7779.0","2746.0","4761.0","10525.0","-4833.0","-72.0","5692.0"
"013 農業サービス","3983.0","583.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60.0","0.0","0.0","0.0","4706.0","0.0","841.0","0.0","0.0","0.0","0.0","0.0","0.0","841.0","5547.0","0.0","841.0","5547.0","0.0","841.0","5547.0"
"015 林業","13.0","0.0","0.0","848.0","3.0","0.0","0.0","0.0","100.0","0.0","1.0","0.0","1.0","0.0","4532.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","19.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","1.0","1.0","7.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","15.0","17.0","0.0","0.0","0.0","0.0","0.0","79.0","265.0","0.0","0.0","8.0","0.0","0.0","5934.0","21.0","1035.0","0.0","0.0","0.0","0.0","2371.0","0.0","3427.0","9361.0","3205.0","6632.0","12566.0","-5344.0","1288.0","7222.0"
"017 漁業","0.0","0.0","0.0","0.0","667.0","0.0","0.0","0.0","4640.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","206.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","37.0","0.0","109.0","119.0","0.0","0.0","0.0","0.0","0.0","274.0","1239.0","0.0","2.0","27.0","0.0","0.0","7324.0","89.0","2470.0","0.0","0.0","0.0","0.0","78.0","12.0","2649.0","9973.0","12684.0","15333.0","22657.0","-8185.0","7148.0","14472.0"
"061 金属鉱物","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","281.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","7.0","77564.0","0.0","0.0","0.0","227.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","78081.0","0.0","0.0","0.0","0.0","0.0","0.0","-85.0","0.0","-85.0","77996.0","0.0","-85.0","77996.0","-77996.0","-78081.0","0.0"
"062 石炭・原油・天然ガス","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","4.0","0.0","0.0","59.0","61.0","35.0","223.0","5.0","0.0","0.0","113.0","446206.0","55361.0","0.0","0.0","0.0","0.0","803.0","0.0","66.0","2717.0","1356.0","0.0","1.0","0.0","5.0","3.0","4.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","68969.0","10273.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","586286.0","0.0","0.0","0.0","0.0","0.0","0.0","20208.0","0.0","20208.0","606494.0","0.0","20208.0","606494.0","-606494.0","-586286.0","0.0"
"063 非金属鉱物","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","6.0","116.0","0.0","26.0","0.0","0.0","1.0","39.0","-760.0","131.0","0.0","2.0","0.0","2.0","1762.0","0.0","666.0","-964.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","0.0","326.0","10.0","2155.0","746.0","-2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-2.0","-4.0","0.0","2.0","1.0","0.0","35.0","4351.0","-35.0","-38.0","0.0","0.0","0.0","-49.0","5.0","1.0","-116.0","4235.0","1643.0","1527.0","5878.0","-3533.0","-2006.0","2345.0"
"111 食料品","0.0","38.0","0.0","119.0","560.0","0.0","0.0","0.0","21326.0","6603.0","374.0","0.0","18.0","49.0","31.0","0.0","50.0","1.0","0.0","0.0","5.0","0.0","256.0","1.0","0.0","81.0","7199.0","3.0","0.0","1.0","0.0","152.0","0.0","0.0","0.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","51.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","69.0","4.0","0.0","581.0","0.0","1546.0","1551.0","80.0","0.0","0.0","0.0","0.0","3594.0","21127.0","0.0","3.0","355.0","0.0","0.0","65859.0","2485.0","136537.0","1486.0","53.0","0.0","0.0","1593.0","66.0","142220.0","208079.0","81983.0","224203.0","290062.0","-152524.0","71679.0","137538.0"
"112 飲料","0.0","0.0","0.0","0.0","156.0","0.0","0.0","0.0","154.0","5372.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","72.0","0.0","170.0","176.0","0.0","0.0","0.0","0.0","2.0","1253.0","9886.0","0.0","0.0","90.0","0.0","59.0","17452.0","1822.0","31922.0","0.0","0.0","0.0","0.0","131.0","9.0","33884.0","51336.0","45213.0","79097.0","96549.0","-41133.0","37964.0","55416.0"
